"","pol_knowledge","likelihood_vote","know1","know2","know3","know4","know5","know6","know7","know8","know9","know10","general_internet","election_internet","internet_skills","int_attch","int_post","int_blog","int_down","election_newspaper","election_tv","election_radio","female","highest_qual","tertiary_ed","country_birth","aust_born","age","income","rural_urban","interest_pol","age_cat","age_18_24","weight","know1_correct","know2_correct","know3_correct","know4_correct","know5_correct","know6_correct","know7_correct","know8_correct","know9_correct","know10_correct","income_quintiles"
"1076",3,4,3,3,3,3,3,3,3,2,5,3,5,3,1,1,NA,NA,NA,3,2,3,0,1,0,1,1,58,11,4,3,5,0,0.775071484076463,0,0,0,0,0,0,1,1,0,1,3
"1077",3,5,1,3,3,2,1,2,5,3,3,5,1,5,2,1,NA,NA,1,3,2,4,1,1,0,1,1,51,14,4,3,4,0,0.919830408760329,1,0,0,0,0,1,0,0,1,0,4
"1078",0,3,3,3,3,3,1,3,2,5,1,5,3,2,1,1,NA,NA,NA,2,2,3,1,6,0,1,1,37,12,4,3,3,0,1.26239130236428,0,0,0,0,0,0,0,0,0,0,3
"1079",5,5,1,3,2,2,1,1,3,2,5,3,7,3,0,NA,NA,NA,NA,1,2,2,1,4,0,1,1,63,12,5,2,5,0,0.726049617448173,1,0,1,0,0,0,1,1,0,1,3
"1080",7,5,1,1,3,1,1,1,3,2,3,3,7,3,0,NA,NA,NA,NA,3,2,NA,0,6,0,NA,NA,76,NA,5,1,6,0,0.752643130937588,1,1,0,1,0,0,1,1,1,1,NA
"1081",4,5,1,2,1,2,1,NA,3,1,3,3,7,3,0,NA,NA,NA,NA,NA,1,2,1,1,0,1,1,79,4,5,2,6,0,0.713680083584822,1,0,0,0,0,NA,1,0,1,1,1
"1082",0,4,3,3,3,3,1,3,5,5,5,5,7,5,0,NA,NA,NA,NA,3,3,NA,0,6,0,NA,NA,88,3,2,2,6,0,0.752643130937588,0,0,0,0,0,0,0,0,0,0,1
"1083",3,3,1,3,2,2,1,1,2,2,1,1,2,2,3,1,1,NA,1,3,1,3,1,7,0,1,1,49,11,5,2,4,0,0.931102935157328,1,0,1,0,0,0,0,1,0,0,3
"1084",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.22439764597606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085",1,2,1,3,3,3,1,3,NA,5,5,5,2,NA,1,NA,NA,NA,1,3,4,4,1,NA,NA,1,1,81,2,5,3,6,0,0.713680083584822,1,0,0,0,0,0,NA,0,0,0,1
"1086",7,5,1,1,3,2,2,2,3,2,3,1,1,3,3,1,NA,1,1,2,1,2,1,7,0,1,1,43,18,5,2,3,0,1.26239130236428,1,1,0,0,1,1,1,1,1,0,5
"1087",9,5,1,1,2,2,2,2,3,2,3,3,1,3,1,NA,NA,NA,1,2,1,2,0,2,1,1,1,79,6,5,1,6,0,0.743531152830054,1,1,1,0,1,1,1,1,1,1,2
"1088",0,NA,3,3,3,2,1,3,5,5,5,5,1,5,3,1,1,NA,1,3,3,3,0,5,0,1,1,66,3,4,2,6,0,0.752643130937588,0,0,0,0,0,0,0,0,0,0,1
"1089",1,5,3,3,1,2,1,1,5,2,5,5,5,5,0,NA,NA,NA,NA,1,1,1,1,6,0,12,0,57,3,5,1,5,0,0.734947359249562,0,0,0,0,0,0,0,1,0,0,1
